sequence_id,scene_family,level,geometry_seed,sensor_seed,process_seed,final_translation_error,final_axis_error,final_cross_error,mean_axis_error,mean_cross_error,axis_drift_rate,trajectory_path,motion_path
ST-L4-G01,ST,L4,101,11,1005,0.08128882983185214,0.08112224114459465,0.005201523537392457,0.03066489679167215,0.0016741731869870484,0.0027040747048198213,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_011/process_1005.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_011/process_1005.npz
ST-L4-G01,ST,L4,101,22,1001,0.016452249265218082,0.01626025742918813,0.0025060994037350475,0.036076429219840965,0.0015233863456437615,0.0005420085809729376,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_022/process_1001.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_022/process_1001.npz
ST-L4-G01,ST,L4,101,22,1002,0.016615030645661256,0.016424971334004113,0.0025059050327987066,0.036093904386925654,0.0015233896067937298,0.0005474990444668037,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_022/process_1002.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_022/process_1002.npz
ST-L4-G01,ST,L4,101,22,1003,0.01663418517557802,0.016444407729458987,0.002505508108693539,0.0360647098682519,0.0015232789593560524,0.0005481469243152995,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_022/process_1003.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_022/process_1003.npz
ST-L4-G01,ST,L4,101,22,1004,0.01645716919644981,0.016265348693583093,0.0025053642123913137,0.036075384481987244,0.0015233136579981342,0.000542178289786103,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_022/process_1004.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_022/process_1004.npz
ST-L4-G01,ST,L4,101,22,1005,0.01642322913271776,0.016230900720639596,0.002506056053341672,0.036060969847546386,0.0015232748255135221,0.0005410300240213198,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_022/process_1005.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_022/process_1005.npz
ST-L4-G02,ST,L4,202,11,1001,0.0785704344669933,0.07839906460346313,0.005186505724869433,0.03387425825286951,0.00167349941655956,0.0026133021534487707,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_011/process_1001.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_011/process_1001.npz
ST-L4-G02,ST,L4,202,11,1002,0.0782580724570119,0.0780860610686318,0.005185843371412987,0.033868637932594696,0.001673496576203707,0.0026028687022877266,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_011/process_1002.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_011/process_1002.npz
ST-L4-G02,ST,L4,202,11,1003,0.07822151084137495,0.07804940448428965,0.005186059964470573,0.033864915130494624,0.001673439111586195,0.0026016468161429883,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_011/process_1003.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_011/process_1003.npz
ST-L4-G02,ST,L4,202,11,1004,0.07856082063844354,0.0783894046812037,0.005186884721311509,0.03387044846849823,0.0016734843861095788,0.002612980156040123,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_011/process_1004.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_011/process_1004.npz
