sequence_id,sensor_seed,window_start,window_end,overlapping,process_trial_count,axis_drift_rate_median,ODI_trans_median,lambda_min_trans_normalized_median
ST-L1-G03,11,40,50,False,5,0.0010027077532765456,0.46685091420969527,6.023597030490941
ST-L1-G03,11,50,59,False,5,0.005714002937587296,0.4825175812227478,2.3731995698639077
ST-L1-G03,22,0,10,False,5,0.0012253698199305805,0.5787748261533725,4.859050772029839
ST-L1-G03,22,10,20,False,5,0.0010419984101459577,0.4817733775477173,6.735436705557963
ST-L1-G03,22,20,30,False,5,0.0022307595165402,0.4619920962635464,4.333150415522097
ST-L1-G03,22,30,40,False,5,0.001209163503264547,0.5377998988879679,6.20204097034277
ST-L1-G03,22,40,50,False,5,0.0004566505599746393,0.4648116845962249,6.050943866029716
ST-L1-G03,22,50,59,False,5,0.0006750384482135296,0.48090588233058174,2.273582797588098
ST-L2-G01,11,0,10,False,5,0.001909247866558569,0.5295944115582916,4.804278379292873
ST-L2-G01,11,10,20,False,5,0.0009321531934637983,0.49894386419640835,2.8401364907440523
ST-L2-G01,11,20,30,False,5,0.0006775760599614806,0.4827981870944158,2.650962786368655
ST-L2-G01,11,30,40,False,5,0.0003375511933141671,0.5056262281631633,5.09268148079739
ST-L2-G01,11,40,50,False,5,0.0001712319633238792,0.4877024063148816,4.471797224387043
ST-L2-G01,11,50,59,False,5,0.0031813197706765835,0.4964539389630347,2.1532980978729395
ST-L2-G01,22,0,10,False,5,0.002291674263203449,0.5273808349399479,4.9392270377051615
ST-L2-G01,22,10,20,False,5,0.0008314811001162808,0.5062265267257925,2.8796186773752535
ST-L2-G01,22,20,30,False,5,0.0005511457466353623,0.48511794431937116,2.6405521454958616
ST-L2-G01,22,30,40,False,5,0.00325629043648228,0.509437591148876,5.153077093646912
ST-L2-G01,22,40,50,False,5,0.0020752052298828373,0.48696378731726075,4.493557478155738
ST-L2-G01,22,50,59,False,5,0.002093411559460349,0.503229344147551,2.127025066708003
ST-L2-G02,11,0,10,False,5,0.0012218939332640298,0.5507726765064109,2.9284041677780785
ST-L2-G02,11,10,20,False,5,0.0007380894101032194,0.4903923386664084,3.917830953429587
ST-L2-G02,11,20,30,False,5,0.001535051969912984,0.4789726193377162,3.3371194000064044
ST-L2-G02,11,30,40,False,5,0.0005782574266338791,0.5215564109256031,2.8489212716476446
ST-L2-G02,11,40,50,False,5,0.0016070235132425175,0.5003415290059924,2.332755213095814
ST-L2-G02,11,50,59,False,5,0.0020000180557478643,0.49415282782427095,2.0122883494559747
ST-L2-G02,22,0,10,False,5,0.001170339536600395,0.5486194850619822,2.8888624394140923
ST-L2-G02,22,10,20,False,5,0.0010846310234853091,0.49636343712854303,3.713432210636163
ST-L2-G02,22,20,30,False,5,0.002375542566531832,0.4842454345847991,3.248970959141508
ST-L2-G02,22,30,40,False,5,0.004131937166432611,0.5258534893113573,2.968688411834573
ST-L2-G02,22,40,50,False,5,0.0005846085799665772,0.5023381096181742,2.305386637664644
ST-L2-G02,22,50,59,False,5,0.0008674322037868433,0.49959849683646007,1.949213590366206
