lag_seconds,formal_lag,lag_selected_from_statistics,overlap_count,trajectory_position_consistency_rmse_m,future_growth_count,future_growth_median_m,actual_horizon_median_seconds,alignment_rotation_det,alignment_translation_norm_m,odi_risk_spearman,ais_risk_spearman,lambda_min_risk_spearman,condition_risk_spearman,lambda_ratio_risk_spearman,entropy_risk_spearman,effective_rank_risk_spearman
0.4,False,False,1716,0.3095300940783085,278,0.060775890088691165,5.0532989501953125,1.0000000000000007,1.0428893645324058,0.5844982334849483,0.579671350842931,0.6140482280531694,0.6140878842285434,0.6140878842285434,0.5844982334849483,0.5844982334849483
0.45,False,False,1715,0.32350250958152604,278,0.03323978267278625,5.053436040878296,1.0000000000000002,1.0722387742691033,0.562844844655311,0.5688340442121672,0.5923613269626524,0.5884554729571414,0.5884554729571414,0.562844844655311,0.562844844655311
0.5,False,False,1715,0.34121235637629305,278,0.02265000416664245,5.053436040878296,1.0,1.1018995286573872,0.5030511517186622,0.5155126859267215,0.5283227476479279,0.5234997747696799,0.5234997747696799,0.5030511517186622,0.5030511517186622
0.55,False,False,1714,0.36183529661855096,278,-0.0012701144878252413,5.053447246551514,0.9999999999999992,1.1322030794223783,0.44264865270936854,0.4579771608356729,0.457324230286203,0.45349266179230824,0.45349266179230824,0.44264865270936854,0.44264865270936854
0.6,False,False,1714,0.3851890928338861,278,-0.027513728706924395,5.053447246551514,1.0,1.1626996989027316,0.40399840369930673,0.4205556947245277,0.40682348729145246,0.4041246332152864,0.4041246332152864,0.40399840369930673,0.40399840369930673
0.65,False,False,1713,0.41047851131322877,278,-0.03659898964113792,5.0534584522247314,0.999999999999999,1.1938074498106712,0.3627241446623765,0.38030858648355564,0.3572046752955153,0.3552235421398528,0.3552235421398528,0.3627241446623765,0.3627241446623765
0.7,False,False,1713,0.43771753059126695,278,-0.0766021603282864,5.0534584522247314,1.0000000000000002,1.22500143459,0.3194592573292013,0.3381909355478235,0.3085141529259415,0.3070094524124499,0.3070094524124499,0.3194592573292013,0.3194592573292013
0.75,False,False,1712,0.4661235841134325,278,-0.12661245863486534,5.053529143333435,1.0000000000000002,1.2568369469279939,0.27270015826165195,0.29282482945750066,0.25766544095572497,0.2560456816798803,0.2560456816798803,0.27270015826165195,0.27270015826165195
0.8,False,False,1712,0.4959457549659465,278,-0.1486466759164171,5.053529143333435,0.9999999999999998,1.288622576194464,0.23279710923237654,0.2530301367384024,0.2117972094898903,0.21084155151714193,0.21084155151714193,0.23279710923237654,0.23279710923237654
0.85,False,False,1711,0.5264399024335469,278,-0.1917336737468794,5.053599834442139,0.9999999999999998,1.3210844887649886,0.20324823173951814,0.22380074279926238,0.17914397956422332,0.17857147844086438,0.17857147844086438,0.20324823173951814,0.20324823173951814
0.9,False,False,1711,0.5580232832602556,278,-0.21110940060699193,5.053599834442139,1.0000000000000004,1.3533899335083275,0.16405508410320768,0.1851097205384638,0.13611814635865546,0.13572326021795816,0.13572326021795816,0.16405508410320768,0.16405508410320768
0.95,False,False,1710,0.5898931917885171,278,-0.2215630585722806,5.053606748580933,1.0,1.386424032463433,0.13287471804319673,0.15340265344496265,0.10147317106138078,0.1014391002628199,0.1014391002628199,0.13287471804319673,0.13287471804319673
1.0,False,False,1710,0.6226699119260944,278,-0.2356776610829076,5.053606748580933,0.9999999999999988,1.4192052888818736,0.11158717139482775,0.13185650385013986,0.07697068151930067,0.07694052048450908,0.07694052048450908,0.11158717139482775,0.11158717139482775
1.05,False,False,1709,0.6554926986544101,278,-0.25047496498838034,5.053613662719727,1.0000000000000002,1.4527397068477987,0.0941691738026837,0.11365934619254635,0.05716605241485163,0.057412926069997615,0.057412926069997615,0.0941691738026837,0.0941691738026837
1.1,False,False,1709,0.6891294135353995,278,-0.2572030101357663,5.053613662719727,0.9999999999999987,1.4859034723692737,0.07216893307294306,0.09105756038001786,0.03346841567156197,0.03377281870788451,0.03377281870788451,0.07216893307294306,0.07216893307294306
1.15,False,False,1708,0.7225712917348143,278,-0.2591862901919775,5.053663492202759,1.0000000000000007,1.5198998154090702,0.050480914907063516,0.06841165009066462,0.01021314077188232,0.010599648847359748,0.010599648847359748,0.050480914907063516,0.050480914907063516
1.2,False,False,1708,0.7567907671892772,278,-0.2680332763919127,5.053663492202759,1.0000000000000002,1.5534115091997407,0.03323885668453708,0.050139089846092146,-0.008535293577179713,-0.00788124595234724,-0.00788124595234724,0.03323885668453708,0.03323885668453708
1.25,False,False,1707,0.7906521965302707,278,-0.2715259961056322,5.053713321685791,1.0,1.5878181712552115,0.017524399020436614,0.03400628745867869,-0.025087557763268827,-0.02435363925000677,-0.02435363925000677,0.017524399020436614,0.017524399020436614
1.3,False,False,1707,0.8252706121413719,278,-0.2731580893114148,5.053713321685791,1.0,1.621638739585468,0.004158592306311001,0.01968258862107938,-0.0398050256662028,-0.03874212845863986,-0.03874212845863986,0.004158592306311001,0.004158592306311001
1.35,False,False,1706,0.8593964233017626,278,-0.2874400670793825,5.053747296333313,0.9999999999999989,1.6564328564243231,-0.005007011044244841,0.010172926058826862,-0.04990729670834195,-0.04873827734132712,-0.04873827734132712,-0.005007011044244841,-0.005007011044244841
1.4,False,False,1706,0.8942956955904082,278,-0.28501163320682266,5.053747296333313,0.9999999999999991,1.6905497753406014,-0.016378838236037464,-0.0013167525837254964,-0.06112049919863806,-0.05993304808813948,-0.05993304808813948,-0.016378838236037464,-0.016378838236037464
1.45,False,False,1705,0.9286025074846224,278,-0.2847387049019664,5.053781270980835,1.000000000000001,1.72569545049449,-0.025117160260379096,-0.010460014427028307,-0.07002638252737742,-0.0687797264226583,-0.0687797264226583,-0.025117160260379096,-0.025117160260379096
1.5,False,False,1705,0.9637298612116424,278,-0.28711590993904057,5.053781270980835,0.9999999999999998,1.7600372898149859,-0.0363845409057638,-0.021594463104257482,-0.08096199179005462,-0.07990635557234892,-0.07990635557234892,-0.0363845409057638,-0.0363845409057638
1.55,False,False,1704,0.9981318887479519,278,-0.2896106208986071,5.053804278373718,0.9999999999999998,1.7955016898239364,-0.04330817400347801,-0.0290168703513956,-0.08830229399803785,-0.08709194284260492,-0.08709194284260492,-0.04330817400347801,-0.04330817400347801
1.6,False,False,1704,1.0333889598203867,278,-0.2907715885985945,5.053804278373718,0.9999999999999992,1.8300561000744946,-0.04987210883441843,-0.0360030596694183,-0.09504328527395854,-0.09364694107064411,-0.09364694107064411,-0.04987210883441843,-0.04987210883441843
1.65,False,False,1703,1.0678142140963036,278,-0.3018526702114489,5.053827285766602,1.0000000000000004,1.8658361480089765,-0.056801327308945895,-0.043245059245488195,-0.10206689661663004,-0.10047171299876367,-0.10047171299876367,-0.056801327308945895,-0.056801327308945895
1.7,False,False,1703,1.1031590536315066,278,-0.3085533876054694,5.053827285766602,0.9999999999999987,1.9006104737952765,-0.06420027597346833,-0.05122377002322679,-0.109477016034779,-0.10769472229366847,-0.10769472229366847,-0.06420027597346833,-0.06420027597346833
1.75,False,False,1702,1.1375613261449553,278,-0.32063076158818016,5.053844928741455,0.9999999999999991,1.9366814057699013,-0.06949521319243661,-0.05674156377704404,-0.11454853818121698,-0.11272100288791907,-0.11272100288791907,-0.06949521319243661,-0.06949521319243661
1.8,False,False,1702,1.172942911869057,278,-0.3285860783565732,5.053844928741455,0.9999999999999994,1.971640483523163,-0.07642331459160143,-0.06394055595165185,-0.12144033463109563,-0.11952455038414823,-0.11952455038414823,-0.07642331459160143,-0.07642331459160143
1.85,False,False,1701,1.2072973168106529,278,-0.328288513893955,5.053862571716309,1.0000000000000009,2.0079804510183115,-0.08122282888723376,-0.06931592259673103,-0.12650850555144563,-0.12435310863920951,-0.12435310863920951,-0.08122282888723376,-0.08122282888723376
1.9,False,False,1701,1.2427038869339817,278,-0.32513863041655894,5.053862571716309,1.0000000000000002,2.04310948852673,-0.08731926767890451,-0.07592007214072692,-0.1329065546910323,-0.13057577694685987,-0.13057577694685987,-0.08731926767890451,-0.08731926767890451
1.95,False,False,1700,1.2769666768853603,278,-0.334658643637619,5.053866386413574,0.9999999999999993,2.0797014197474333,-0.08950370855056956,-0.07858820664442011,-0.13536914732799762,-0.13284232285767986,-0.13284232285767986,-0.08950370855056956,-0.08950370855056956
2.0,False,False,1700,1.3123586810954753,278,-0.33823793598552393,5.053866386413574,0.9999999999999994,2.114984595990594,-0.09410550050701257,-0.08355528224445015,-0.13990894160181344,-0.1372396900227576,-0.1372396900227576,-0.09410550050701257,-0.09410550050701257
