sequence_id,scene_family,trial_id,window_id,axis_drift_rate,weak_drift_alignment,ODI_median,AIS_median,lambda_min_clamped_median,condition_number_median,weak_alignment_median,path_length,risk_ODI,risk_low_AIS,risk_low_lambda,risk_high_condition,risk_weak_alignment,risk_low_motion,joint_risk_equal,joint_risk_spectral,joint_risk_information,joint_risk_odi_information,joint_risk_no_odi,joint_risk_motion_aware,applied_axis_bias,is_unbiased_protocol
RT-L4-S01-M1,RT,7,13,0.00322778185272,0.999899165995,0.728385487111,7.00805087714,0,2892465.08274,1,10.27027027,0.43312009305,0.831491712707,0.662838034312,0.561064262867,0.5,0.177231753417,0.622128525734,0.552340796743,0.685131336629,0.642483280023,0.558156440826,0.533149171271,0,true
RT-L4-S01-M1,RT,7,14,0.00310324958956,0.996238526766,0.728456629605,7.00805087714,0,2892542.73074,1,10.27027027,0.462198313463,0.831491712707,0.662838034312,0.572695551032,0.5,0.177231753417,0.632305902879,0.565910632936,0.689008432684,0.652176020161,0.561064262867,0.541291072986,0,true
RT-L4-S01-M1,RT,7,15,0.000798982576337,0.951524875483,0.72850276427,7.00690099827,0,2892219.75151,1,10.27027027,0.479645245711,0.866385577203,0.662838034312,0.526170398372,0.5,0.177231753417,0.633759813899,0.556217892798,0.685131336629,0.669622952409,0.558156440826,0.542454201803,0,true
RT-L4-S01-M1,RT,7,16,0.002891570934,0.996458250514,0.728987903281,7.00690099827,0,2892786.91308,1,10.270270271,0.776243093923,0.866385577203,0.662838034312,0.642483280023,0.5,0.0347484733934,0.736987496365,0.693854802753,0.723902297179,0.768488901813,0.551613841233,0.596539691771,0,true
RT-L4-S01-M1,RT,7,17,0.00356901425536,0.998001591138,0.728811087417,7.00540415889,0,2892213.0373,1,10.27027027,0.694824076767,0.915818551905,0.662838034312,0.514539110206,0.5,0.177231753417,0.697004943297,0.624067073762,0.697731898808,0.757826887661,0.56760686246,0.593050305321,0,true
RT-L4-S01-M1,RT,7,18,0.00267803127639,0.98633770932,0.728702117823,7.00434110991,0,2892073.11664,1,10.27027027,0.622128525734,0.944896772318,0.662838034312,0.473829601628,0.5,0.177231753417,0.675923233498,0.586265387225,0.693854802753,0.743287777455,0.564699040419,0.576184937482,0,true
RT-L4-S01-M1,RT,7,19,0.00167306541567,0.989090141104,0.728702117823,7.01089683492,0,2892137.45269,1,10.270270271,0.622128525734,0.74716487351,0.662838034312,0.497092177959,0.5,0.0347484733934,0.632305902879,0.594019579335,0.635698361927,0.677377144519,0.485460889794,0.512794416982,0,true
RT-L4-S01-M1,RT,7,20,0.00122871450003,0.98771092401,0.728531651126,7.00964609894,0,2891759.70926,1,10.27027027,0.491276533876,0.773335271881,0.662838034312,0.404041872637,0.5,0.177231753417,0.582872928177,0.519385480275,0.61340505961,0.642483280023,0.504361733062,0.501744693225,0,true
RT-L4-S01-M1,RT,7,21,0.000357890192116,0.703420387513,0.728912821564,7.00964609894,0,2892409.50773,1,10.27027027,0.723902297179,0.773335271881,0.662838034312,0.537801686537,0.5,0.177231753417,0.674469322477,0.641514006009,0.657991664243,0.720025201124,0.537801686537,0.575021808665,0,true
RT-L4-S01-M1,RT,7,22,0.00240564798667,0.993910359639,0.728463581546,7.01275910835,0,2892015.96934,1,10.270270271,0.473829601628,0.723902297179,0.662838034312,0.438935737133,0.5,0.0347484733934,0.574876417563,0.525201124358,0.608558689542,0.620189977707,0.465106135505,0.466850828729,0,true
RT-L4-S01-M1,RT,7,23,0.00169367967373,0.986656042864,0.729311900425,7.00836446952,0,2893662.35005,1,10.27027027,0.904187263739,0.822768246583,0.662838034312,0.910002907822,0.5,0.177231753417,0.824949113114,0.825676068625,0.798536396239,0.796597848212,0.643210235534,0.695405641175,0,true
RT-L4-S01-M1,RT,7,24,0.000827354857916,0.927097577343,0.729565625683,7.00595525561,0,2893821.11678,1,10.27027027,0.9507124164,0.889648153533,0.662838034312,0.939081128235,0.5,0.177231753417,0.86056993312,0.850877192982,0.830522438693,0.834399534748,0.667199767374,0.723902297179,0,true
RT-L4-S01-M1,RT,7,25,-0.000770256165811,0.987601439296,0.729670980146,7.00595525561,0,2893980.29979,1,10.27027027,0.97397499273,0.889648153533,0.662838034312,0.968159348648,0.5,0.177231753417,0.873655132306,0.86832412523,0.840215178831,0.842153726859,0.674469322477,0.734370456528,0,true
