scene_variant,geometry_seed,noise_condition,registration_backend,trial_count,translation_repeatability_covariance,translation_repeatability_rms_m,rotation_repeatability_covariance,rotation_repeatability_rms_rad,translation_error_median_m,translation_error_iqr_m,translation_error_q95_m,rotation_error_median_rad,rotation_error_iqr_rad,rotation_error_q95_rad
END_FACE_TRANSITION_PRESENT,1850310744,MAP_NOISE_ONLY,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0011809374924479,0.0,0.0011809374924479,0.0002864798399671,0.0,0.0002864798399671
END_FACE_TRANSITION_PRESENT,1850310744,SCAN_NOISE_ONLY,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0007653109517845,0.0,0.0007653109517845,6.700890351328983e-05,0.0,6.700890351328983e-05
END_FACE_TRANSITION_PRESENT,1850310744,SCAN_NOISE_ONLY,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0007752475873857,0.0,0.0007752475873857,6.578663087354647e-05,0.0,6.578663087354647e-05
END_FACE_TRANSITION_PRESENT,1850310744,SCAN_NOISE_ONLY,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0012544325016052,0.0,0.0012544325016052,0.0003532488952259,0.0,0.0003532488952259
END_FACE_TRANSITION_WEAK,1850310744,DROPOUT_ONLY,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0098636426500696,0.0,0.0098636426500696,0.0001853264654496,0.0,0.0001853264654496
END_FACE_TRANSITION_WEAK,1850310744,DROPOUT_ONLY,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0014986245536058,0.0,0.0014986245536058,0.0001894737111943,0.0,0.0001894737111943
END_FACE_TRANSITION_WEAK,1850310744,DROPOUT_ONLY,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.002898343142775,0.0,0.002898343142775,0.0004662619021762,0.0,0.0004662619021762
END_FACE_TRANSITION_WEAK,1850310744,FULL_NOISE,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0139447935961616,0.0,0.0139447935961616,0.0002466881748017,0.0,0.0002466881748017
END_FACE_TRANSITION_WEAK,1850310744,FULL_NOISE,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0404718361572234,0.0,0.0404718361572234,1.853359285884784e-05,0.0,1.853359285884784e-05
END_FACE_TRANSITION_WEAK,1850310744,FULL_NOISE,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.002280367632527,0.0,0.002280367632527,0.0004614634130673,0.0,0.0004614634130673
END_FACE_TRANSITION_WEAK,1850310744,IDEAL_MATCHED,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0116692882939793,0.0,0.0116692882939793,0.0001567170065722,0.0,0.0001567170065722
END_FACE_TRANSITION_WEAK,1850310744,IDEAL_MATCHED,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0604855941159574,0.0,0.0604855941159574,5.262378307859971e-05,0.0,5.262378307859971e-05
END_FACE_TRANSITION_WEAK,1850310744,IDEAL_MATCHED,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,4.8789215069972746e-18,0.0,4.8789215069972746e-18,7.668895494946421e-19,0.0,7.668895494946421e-19
END_FACE_TRANSITION_WEAK,1850310744,INDEPENDENT_NOISE_FREE,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0099646091354713,0.0,0.0099646091354713,0.0001852201845699,0.0,0.0001852201845699
END_FACE_TRANSITION_WEAK,1850310744,INDEPENDENT_NOISE_FREE,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0014891902957622,0.0,0.0014891902957622,0.0001896435222873,0.0,0.0001896435222873
END_FACE_TRANSITION_WEAK,1850310744,INDEPENDENT_NOISE_FREE,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0028621314666344,0.0,0.0028621314666344,0.0004684064608086,0.0,0.0004684064608086
END_FACE_TRANSITION_WEAK,1850310744,MAP_NOISE_ONLY,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0019193978477194,0.0,0.0019193978477194,0.0001962744597314,0.0,0.0001962744597314
END_FACE_TRANSITION_WEAK,1850310744,MAP_NOISE_ONLY,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0235196116849844,0.0,0.0235196116849844,2.6765003860825605e-05,0.0,2.6765003860825605e-05
END_FACE_TRANSITION_WEAK,1850310744,MAP_NOISE_ONLY,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0027502649152841,0.0,0.0027502649152841,0.0004911003795536,0.0,0.0004911003795536
END_FACE_TRANSITION_WEAK,1850310744,SCAN_NOISE_ONLY,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.013365804787181,0.0,0.013365804787181,0.0002199575716542,0.0,0.0002199575716542
END_FACE_TRANSITION_WEAK,1850310744,SCAN_NOISE_ONLY,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0405867573314813,0.0,0.0405867573314813,5.086938255778338e-05,0.0,5.086938255778338e-05
END_FACE_TRANSITION_WEAK,1850310744,SCAN_NOISE_ONLY,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0018868723288401,0.0,0.0018868723288401,0.0004865208812427,0.0,0.0004865208812427
GEOMETRY_RICH_ROOM,1850310744,DROPOUT_ONLY,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0008347517633764,0.0,0.0008347517633764,3.992192718656824e-05,0.0,3.992192718656824e-05
GEOMETRY_RICH_ROOM,1850310744,DROPOUT_ONLY,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0008332908575488,0.0,0.0008332908575488,3.870839176708106e-05,0.0,3.870839176708106e-05
GEOMETRY_RICH_ROOM,1850310744,DROPOUT_ONLY,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0009526275494067,0.0,0.0009526275494067,0.0002366561792093,0.0,0.0002366561792093
GEOMETRY_RICH_ROOM,1850310744,FULL_NOISE,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.000864475158231,0.0,0.000864475158231,4.384187479240828e-05,0.0,4.384187479240828e-05
GEOMETRY_RICH_ROOM,1850310744,FULL_NOISE,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0008512881397953,0.0,0.0008512881397953,4.279263049762217e-05,0.0,4.279263049762217e-05
