scene_variant,geometry_seed,noise_condition,registration_backend,trial_count,mean_translation_x_m,mean_translation_y_m,mean_translation_z_m,systematic_translation_offset_m,mean_rotation_x_rad,mean_rotation_y_rad,mean_rotation_z_rad,systematic_rotation_offset_rad,systematic_fraction_translation
LONG_CORRIDOR,1850310744,DROPOUT_ONLY,open3d_full,1,0.1093907425737416,8.139124219797395e-05,0.0003713882562044,0.10939140329388665,-0.0006158127155401,1.275477259988177e-06,8.376872393904754e-07,0.0006158146061786972,1.0
LONG_CORRIDOR,1850310744,FULL_NOISE,native_frozen,1,0.0194906608861867,0.0002582061779926,0.0003558841345665,0.019495619654884475,-8.92100722413648e-05,6.055681721344908e-07,2.7193607645853664e-06,8.925356365484011e-05,1.0
LONG_CORRIDOR,1850310744,FULL_NOISE,native_full,1,-0.1154507140963305,0.0004130645354098,-1.970104809045914e-05,0.11545145471493357,-2.1683968175108422e-05,-5.224156949092694e-07,8.274867726145855e-07,2.1706038983109162e-05,1.0
LONG_CORRIDOR,1850310744,FULL_NOISE,open3d_full,1,0.1105039265124263,0.0001009448831056,0.0003637726468639,0.11050457137635412,-0.0006152827702784,1.0280773460581456e-06,1.2174887834950593e-06,0.0006152848337342875,1.0
LONG_CORRIDOR,1850310744,IDEAL_MATCHED,native_frozen,1,0.0439531546158289,0.0001399196169425,7.207482072502103e-05,0.04395343641812264,2.1835011338380288e-05,4.226538480830155e-06,-3.058678689567341e-06,2.244965173456255e-05,1.0
LONG_CORRIDOR,1850310744,IDEAL_MATCHED,native_full,1,0.237706172746445,0.0001736113963286,0.0002000619353523,0.23770632033553013,-0.0001040735683431,-8.327917223028003e-08,2.9038433662252803e-06,0.00010411410504529156,1.0
LONG_CORRIDOR,1850310744,IDEAL_MATCHED,open3d_full,1,-4.2990896582943807e-17,-5.749238768999526e-19,0.0,4.299474068382782e-17,-6.116830208080951e-20,1.0399767171070636e-22,-2.59210601333998e-22,6.116893970881569e-20,
LONG_CORRIDOR,1850310744,INDEPENDENT_NOISE_FREE,native_frozen,1,0.0322823373831072,3.93338037507971e-05,0.0004398466430979,0.03228535765845444,-0.0001007908251171,1.8201436407880107e-06,1.5901841669921426e-06,0.00010081979982297074,1.0
LONG_CORRIDOR,1850310744,INDEPENDENT_NOISE_FREE,native_full,1,-0.1468234451307441,0.0001915183122953,0.0001378379225402,0.1468236347412005,-0.0003039204456539,-3.131077874909598e-06,-1.585855274265756e-06,0.00030394071111332696,1.0
LONG_CORRIDOR,1850310744,INDEPENDENT_NOISE_FREE,open3d_full,1,0.1099693635746737,8.029722310218485e-05,0.0003717037599637,0.10997002108005609,-0.000615509113869,1.337569158550667e-06,7.720274041244184e-07,0.0006155110513819945,1.0
LONG_CORRIDOR,1850310744,MAP_NOISE_ONLY,native_frozen,1,0.0322377619328173,7.495041311517768e-05,0.0004387947555597,0.032240835175890485,-0.0001377492522378,1.4244386770371524e-06,2.1980264478275112e-06,0.00013777415155929301,1.0
LONG_CORRIDOR,1850310744,MAP_NOISE_ONLY,native_full,1,-0.1597116144320695,0.0002320382581427,2.750033242504557e-05,0.15971178535887562,-0.0001191669967484,3.62216230107248e-06,9.595661384481985e-07,0.00011922589459065737,1.0
LONG_CORRIDOR,1850310744,MAP_NOISE_ONLY,open3d_full,1,0.1093646769073436,6.258256349878286e-05,0.0003711320719872,0.10936532453497208,-0.0006286466516298,9.123855512439232e-07,1.7307423974698438e-06,0.000628649696191766,1.0
LONG_CORRIDOR,1850310744,SCAN_NOISE_ONLY,native_frozen,1,0.0220991976282715,0.0001849412325557,0.0003855762331783,0.022103334773388647,-0.0001060943698748,1.4956245460048442e-06,3.7622777872714985e-07,0.00010610557836068266,1.0
LONG_CORRIDOR,1850310744,SCAN_NOISE_ONLY,native_full,1,-0.0053113527918571,-0.000104506448561,0.0003750325449172,0.005325602265200258,6.244392007593701e-05,-2.03477125689122e-06,-2.6516899438469864e-06,6.253331038795387e-05,1.0
LONG_CORRIDOR,1850310744,SCAN_NOISE_ONLY,open3d_full,1,0.1088866216715909,7.046198197519632e-05,0.0003692320425485,0.10888727049680472,-0.0006185489226971,6.667803426137644e-07,9.099078626104829e-09,0.0006185492821502273,1.0
PARALLEL_WALLS,1850310744,DROPOUT_ONLY,native_frozen,1,-0.0241743412502523,0.0004351847544542,0.0016062807937553,0.024231555844446855,-0.0003410772375165,5.663954413352477e-07,7.34224696570474e-07,0.0003410784980639911,1.0
PARALLEL_WALLS,1850310744,DROPOUT_ONLY,native_full,1,-0.0228579126986575,0.000578788371446,0.0019432830714409,0.022947669119414236,-0.0001441212426678,6.697239308953586e-07,-3.339779446623288e-07,0.0001441231857111202,1.0
