snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,noise_condition,registration_backend,translation_x_m,translation_y_m,translation_z_m,rotation_x_rad,rotation_y_rad,rotation_z_rad,translation_error_m,rotation_error_rad,rotation_error_deg,solver_failure
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,PARALLEL_WALLS,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,native_full,-0.0243139254672681,0.0005791711098053,0.0019460241190456,-0.0001398971356316,3.234608018619512e-07,-2.893825270731424e-07,0.0243985536594735,0.0001398978088715,0.0080155540114684,True
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,PARALLEL_WALLS,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,native_frozen,-0.0245128926755155,0.000436116044053,0.0016074827063774,-0.0003418485916964,2.988816801182732e-07,8.333196959382602e-07,0.0245694140177686,0.0003418497380382,0.0195865472172456,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,PARALLEL_WALLS,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,open3d_full,0.0028713688965607,-0.0005323312541238,0.0003965854437766,-0.0008634555609582,1.2396410089131628e-07,7.266197331114723e-07,0.0029471029704556,0.0008634558755913,0.0494723774671546,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,PARALLEL_WALLS,1850310744,217775206,0,SCAN_NOISE_ONLY,native_full,-0.0174627911273442,0.0003839638224625,0.0016767698739983,-0.0003283898253744,-2.6701502121900688e-06,3.1172356073158604e-06,0.0175473091778927,0.000328415475076,0.0188168206486435,True
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,PARALLEL_WALLS,1850310744,217775206,0,SCAN_NOISE_ONLY,native_frozen,-0.0213786976003265,0.0004036590018266,0.0016733967739179,-0.0003303843490917,-2.6872461167003504e-06,3.2319374916393634e-06,0.0214478882046443,0.0003304110846149,0.0189311606527771,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,PARALLEL_WALLS,1850310744,217775206,0,SCAN_NOISE_ONLY,open3d_full,0.0046605315184965,-0.0005532820981504,0.0004533548735987,-0.0008690109222107,-2.51716220883421e-06,2.891381860424077e-06,0.0047151040027181,0.0008690193778714,0.0497911426671213,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::MAP_NOISE_ONLY,PARALLEL_WALLS,1850310744,217775206,0,MAP_NOISE_ONLY,native_full,-0.0223256855181568,0.0005857669143828,0.0019433160761803,-0.0001382283579777,-3.060658252441156e-07,-1.10486078854084e-06,0.0224177571158571,0.0001382331123243,0.0079201739251434,True
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::MAP_NOISE_ONLY,PARALLEL_WALLS,1850310744,217775206,0,MAP_NOISE_ONLY,native_frozen,-0.0220048699613085,0.0004374693823126,0.0016123382212585,-0.0003312182312766,-2.959959773257829e-07,1.0237447945290033e-07,0.022068196936186,0.0003312183793574,0.0189774152343428,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::MAP_NOISE_ONLY,PARALLEL_WALLS,1850310744,217775206,0,MAP_NOISE_ONLY,open3d_full,-0.0037580843345381,-0.0005221258177581,0.0003823976008716,-0.0008514007694354,1.931171887486732e-08,-1.0331575320413383e-07,0.0038134028321465,0.000851400775923,0.0487816711345564,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::DROPOUT_ONLY,PARALLEL_WALLS,1850310744,217775206,0,DROPOUT_ONLY,native_full,-0.0228579126986575,0.000578788371446,0.0019432830714409,-0.0001441212426678,6.697239308953586e-07,-3.339779446623288e-07,0.0229476691194143,0.0001441231857111,0.0082576502712274,True
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::DROPOUT_ONLY,PARALLEL_WALLS,1850310744,217775206,0,DROPOUT_ONLY,native_frozen,-0.0241743412502523,0.0004351847544542,0.0016062807937553,-0.0003410772375165,5.663954413352477e-07,7.34224696570474e-07,0.0242315558444469,0.000341078498064,0.01954235842173,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::DROPOUT_ONLY,PARALLEL_WALLS,1850310744,217775206,0,DROPOUT_ONLY,open3d_full,0.0029310198620827,-0.0005317527873281,0.0003960487421896,-0.0008618818819005,5.693337577765248e-07,4.841404823375646e-07,0.0030050778800132,0.0008618822059199,0.049382212836636,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::FULL_NOISE,PARALLEL_WALLS,1850310744,217775206,0,FULL_NOISE,native_full,0.0017737786731874,0.000476425395547,0.001704348196384,-0.0002234132394912,1.4987830280680026e-06,-4.696361248709384e-07,0.002505608651305,0.0002234187603775,0.0128009520336771,True
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::FULL_NOISE,PARALLEL_WALLS,1850310744,217775206,0,FULL_NOISE,native_frozen,-0.020185356043746,0.000472177084939,0.001632450397903,-0.0003226459008734,1.2388403197730202e-06,5.7083392450078714e-08,0.0202567629228845,0.0003226482842575,0.0184863849550931,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::FULL_NOISE,PARALLEL_WALLS,1850310744,217775206,0,FULL_NOISE,open3d_full,-0.0008096141817734,-0.0004659534405515,0.0004059217851846,-0.0008599130777367,1.0974617022492033e-06,-1.3303945342289945e-08,0.0010185088255768,0.0008599137781556,0.0492694302334653,False
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::IDEAL_MATCHED,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,IDEAL_MATCHED,native_full,-0.0016827928261461,0.0001558226700725,-0.0001894150190526,0.000200121146588,6.450725956860057e-07,-1.0501058421026953e-06,0.0017005735649127,0.0002001249413557,0.0114663145149903,False
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::IDEAL_MATCHED,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,IDEAL_MATCHED,native_frozen,-0.000549182867776,0.0001208897912562,-0.000150269247809,0.0001518706155546,2.3432629821932843e-06,5.382850357548477e-07,0.0005820627206115,0.0001518896457996,0.0087026356560554,False
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::IDEAL_MATCHED,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,IDEAL_MATCHED,open3d_full,-9.297517049275928e-19,1.0143949064167685e-19,0.0,6.259429754358137e-20,3.89960172392907e-21,-6.349398094720716e-23,9.352690538435496e-19,6.27156839240814e-20,3.59334399812633e-18,False
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,native_full,-0.000688460539612,2.425902222418699e-05,-0.0001793140818922,5.934658625905839e-05,2.3639592431867244e-06,1.1295535775333665e-06,0.0007118426474489,5.9404389527978696e-05,0.0034036208045043,False
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,native_frozen,-0.0007110844616597,2.262099702770452e-05,-0.0001802019458729,6.013938889595452e-05,2.41549289526335e-06,1.020987300029988e-06,0.0007339111406818,6.019653742344943e-05,0.0034490075356649,False
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,open3d_full,0.0003040288195861,-0.0010993769677798,0.0004598787179377,-0.0002829039616004,-6.490236479180317e-07,4.162206741592125e-06,0.001229858396579,0.0002829353224428,0.0162109998511501,False
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,SCAN_NOISE_ONLY,native_full,-0.0007517760472513,1.3639778184417596e-05,-0.0001888267803507,6.567940924593047e-05,2.6480843567129787e-06,2.661513110539516e-06,0.0007752475873857,6.578663087354647e-05,0.0037692962974392,False
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,SCAN_NOISE_ONLY,native_frozen,-0.0007417063611911,1.3194213457680176e-05,-0.0001881447299851,6.69068080615336e-05,2.5910003144926474e-06,2.6379731690798777e-06,0.0007653109517845,6.700890351328983e-05,0.0038393273611108,False
