scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,full_anchor_pose,frozen_zero_pose,translation_distance_m,rotation_distance_rad,distance_eligible,full_zero_anchor_globally_valid,eligible_for_subsequent_comparison
END_FACE_TRANSITION_PRESENT,1101,2111,1,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111::r01,"[0.0,0.004853794299495652,-0.0002976992238769207,1.499649375727616,7.846454856940865e-05,-3.647692138921312e-07,-1.1609291227049387e-06,0.999999996920917]","[0.0,0.004416079845192541,-0.00024257923847961782,1.4996448428821512,3.024243847288136e-05,-4.0035375883208036e-07,-4.975389533342204e-07,0.9999999995424936]",0.0004411946316356045,9.64533724088837e-05,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2111,2,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111::r02,"[0.0,0.004437317560114896,-0.00027131126094927715,1.4996381055032149,5.615710446696253e-05,1.6682361530390278e-06,1.2297259807949534e-06,0.9999999984210423]","[0.0,0.0036868404464166864,-0.00022148812478395592,1.4996448182972704,1.1280095811367423e-05,1.7853583062300006e-06,1.0513136333252035e-06,0.9999999999342335]",0.0007521590953290235,8.975503232836845e-05,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2111,3,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111::r03,"[0.0,0.004939657168269317,-0.0002951898418482555,1.4995831149894603,5.9146152021776114e-05,2.022333653430367e-07,1.2980493271488286e-06,0.9999999982500035]","[0.0,0.003954771523061177,-0.00022163526332468736,1.4995854939693605,2.082376723702376e-06,8.450560522871411e-08,1.0441856114445683e-06,0.9999999999972833]",0.0009876313430142844,0.0001141289229217089,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2111,4,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111::r04,"[0.0,0.004954690358958513,-0.00031756266823476344,1.499672581917686,6.657274641608419e-05,2.5988735268929843e-07,-7.599000340512204e-07,0.9999999977837124]","[0.0,0.004244010168545062,-0.0002670528007572701,1.4996804890644566,2.0763755852304683e-05,1.0465366991987936e-07,-8.419775967156044e-07,0.9999999997840733]",0.0007125167385603981,9.161865432461699e-05,true,false,false
END_FACE_TRANSITION_PRESENT,1103,2101,0,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101::r00,"[0.0,0.014147221098141287,-0.00022720748859579324,1.4993761798728966,9.795307073129459e-06,3.27212808820972e-06,-1.7064859235695252e-06,0.9999999999452167]","[0.0,0.00460595449238166,-0.0002922791007208333,1.4994588596378378,0.0001927296497889436,2.4369584481979793e-06,-2.5829348574323426e-06,0.9999999814213358]",0.009541846713315986,0.0003658766997358313,true,false,false
END_FACE_TRANSITION_PRESENT,1103,2101,1,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101::r01,"[0.0,0.013601074978187546,-0.00027297905735288185,1.499382072603758,-1.2188928055648845e-06,2.6611637349766226e-06,-2.4754301179141776e-06,0.9999999999926524]","[0.0,0.004605176235723524,-0.0002827827123241358,1.499458414233924,0.00016257344046429192,2.0254926766504794e-06,-2.7532009283227383e-06,0.9999999867790967]",0.008996228006270904,0.00032758760603465877,true,false,false
END_FACE_TRANSITION_PRESENT,1103,2101,2,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101::r02,"[0.0,0.013452489085766956,-0.00027609150244946746,1.4993895929489542,1.1138746231296403e-05,2.5924123774254755e-06,-1.2985408951185318e-06,0.9999999999337608]","[0.0,0.004250879071841953,-0.00029919339365613125,1.4994520241704543,0.0001802647921732048,1.9347218220068466e-06,-2.3032748417244213e-06,0.9999999837477782]",0.009201850803135216,0.0003382606201927038,true,false,false
END_FACE_TRANSITION_PRESENT,1103,2101,3,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101::r03,"[0.0,0.013822509399455158,-0.00031784950016628213,1.4993808943622386,9.224851919583264e-06,7.165740582749228e-07,-2.142576349089582e-06,0.9999999999548991]","[0.0,0.004324875860283233,-0.0003298070269870753,1.499451123368318,0.00018229936732490657,-5.961220199803207e-08,-2.818011392033738e-06,0.9999999833794979]",0.00949790071227037,0.00034615514966511007,true,false,false
END_FACE_TRANSITION_PRESENT,1103,2101,4,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101::r04,"[0.0,0.013704990608094148,-0.0002719404785421564,1.4993447083783416,-3.3181115548375185e-06,2.6852904223868206e-06,-3.21239994659814e-06,0.9999999999857301]","[0.0,0.0041638172838855255,-0.0003089258194998092,1.4994191364264655,0.00015965321607332416,2.2030769117761603e-06,-3.07647691744923e-06,0.9999999872482661]",0.009541535298492769,0.00032594419678744994,true,false,false
END_FACE_TRANSITION_PRESENT,1103,2111,0,dev::END_FACE_TRANSITION_PRESENT::g1103::m2111,dev::END_FACE_TRANSITION_PRESENT::g1103::m2111::r00,"[0.0,0.013597355535710865,-0.0002893990845982941,1.4993949816605274,1.4729112821859755e-05,1.9217256082709056e-06,-2.576426647887686e-06,0.9999999998863611]","[0.0,0.004727896571718818,-0.0003171271663917872,1.4994723028538905,0.00018510691580284622,1.5889792285686778e-06,-2.450395053492054e-06,0.9999999828634502]",0.008869839329288998,0.00034075635115281744,true,false,false
END_FACE_TRANSITION_PRESENT,1103,2111,1,dev::END_FACE_TRANSITION_PRESENT::g1103::m2111,dev::END_FACE_TRANSITION_PRESENT::g1103::m2111::r01,"[0.0,0.01370842403205507,-0.00030868667068421164,1.4993178862951029,-3.912965086700276e-06,4.5545501681826093e-07,-2.0822969167071008e-06,0.9999999999900727]","[0.0,0.004542984599896245,-0.0003493601920241069,1.4993961319481117,0.00016427319385282644,2.0635272125604158e-07,-1.4712469635569883e-06,0.9999999865060553]",0.009165863663732125,0.00033637490834679683,true,false,false
