scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,method,reference_cost,reference_gradient_norm,reference_gradient_norm_per_sqrt_correspondence,one_step_translation_m,one_step_rotation_rad,final_translation_shift_m,final_rotation_shift_rad,correspondence_changed,plane_fit_changed,deterministic_recheck_pass,reference_pose_not_registration_fixed_point
GEOMETRY_RICH_ROOM,1107,2101,2,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r02,frozen_jacobian,0.8912085733721314,24.894736100301383,0.11903184714106468,0.0007757054748088342,8.893015469012089e-05,0.0007780287874914102,8.914026231027534e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2101,3,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r03,full_reassociation,0.9072177135123048,28.26499055113764,0.13507848080677948,0.0007562497440117748,0.00010640238167008544,0.0007507252488383731,0.00010470353546450428,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2101,3,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r03,frozen_jacobian,0.9072177135123048,28.26499055113764,0.13507848080677948,0.0007562497440117748,0.00010640238167008544,0.0007590717247703993,0.0001066953297274408,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2101,4,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r04,full_reassociation,0.8994177750325287,29.036676836473447,0.13878380630346374,0.0007707237944908003,0.00010708804318702298,0.0007701088381662423,0.00010604911854549907,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2101,4,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r04,frozen_jacobian,0.8994177750325287,29.036676836473447,0.13878380630346374,0.0007707237944908003,0.00010708804318702298,0.0007731110460699304,0.00010732766963718889,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2111,0,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r00,full_reassociation,0.9055461208120691,26.883911778911635,0.12851646379938775,0.0007725368533333202,0.00010103211578866333,0.000777058568707837,0.00010026200897022996,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2111,0,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r00,frozen_jacobian,0.9055461208120691,26.883911778911635,0.12851646379938775,0.0007725368533333202,0.00010103211578866333,0.000775187229876348,0.00010131457048151705,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2111,1,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r01,full_reassociation,0.8969351475134439,27.63139155935688,0.13203091029995892,0.0007449538182380624,0.00010558761341818047,0.0007332255716825349,0.00010440280127477782,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2111,1,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r01,frozen_jacobian,0.8969351475134439,27.63139155935688,0.13203091029995892,0.0007449538182380624,0.00010558761341818047,0.0007471223832729873,0.00010584516225300045,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2111,2,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r02,full_reassociation,0.9088880674803795,26.39561046664202,0.12619948207587,0.0007129970816334524,9.748672273217904e-05,0.000705654280484324,9.675775320703023e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2111,2,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r02,frozen_jacobian,0.9088880674803795,26.39561046664202,0.12619948207587,0.0007129970816334524,9.748672273217904e-05,0.0007153094959860727,9.772024296198294e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2111,3,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r03,full_reassociation,0.9008457024750519,26.374828779630505,0.12603819539777708,0.0007579946423697192,9.627225404591869e-05,0.0007539038175354917,9.536814362924734e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2111,3,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r03,frozen_jacobian,0.9008457024750519,26.374828779630505,0.12603819539777708,0.0007579946423697192,9.627225404591869e-05,0.0007601504175447819,9.647097730166977e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2111,4,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r04,full_reassociation,0.8990492655390506,26.020032591826094,0.12434555969899382,0.0007362467442149569,9.791838819404476e-05,0.0007353375977603737,9.785902618205067e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2111,4,dev::GEOMETRY_RICH_ROOM::g1107::m2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111::r04,frozen_jacobian,0.8990492655390506,26.020032591826094,0.12434555969899382,0.0007362467442149569,9.791838819404476e-05,0.0007386575760789626,9.821383739280312e-05,false,false,true,true
LONG_CORRIDOR,1101,2101,0,dev::LONG_CORRIDOR::g1101::m2101,dev::LONG_CORRIDOR::g1101::m2101::r00,full_reassociation,1.3530153834987906,30.779660087649333,0.14150707884420713,0.12156328300663548,8.490942378557962e-05,0.12006975222991804,3.199202285950275e-05,true,true,true,true
LONG_CORRIDOR,1101,2101,0,dev::LONG_CORRIDOR::g1101::m2101,dev::LONG_CORRIDOR::g1101::m2101::r00,frozen_jacobian,1.3530153834987906,30.779660087649333,0.14150707884420713,0.12156328300663548,8.490942378557962e-05,0.13437606866391713,0.00010345741239450874,false,false,true,true
